title,price,stock,model,description,FirmCode,Número de Cuerdas,Guitarra Serie,Forma de Cuerpo,Material Cuerpo,Origen,Acabado de Cuerpo,Material Mastil,Frets Size,Material Diapason,Escala,Numero de Trastes,Radio Diapason,Forma de Mastil,Pastilla Mastil,Pastilla Puente,Código de barras,Estuche ó Funda,Ajuste de pastillas,Acabado Mastil,Pastilla Media,scale,radius
"Jackson X Series Soloist Arch Top SLATX7Q MS, Transparent Blue Burst, Guitarra Eléctrica",20610.0,Disponible,2919914586,"Triture con comodidad ergonómica y estilo con la cubierta superior en arco SLATX7Q MS de Jackson® X Series Soloist ™. Una evolución de alto rendimiento de la guitarra eléctrica, este modelo multiescala de 7 cuerdas abre las posibilidades de un instrumento al acomodar dos longitudes de escala en un",Jackson,8.0,X Series,Soloist,Poplar,Indonesia,Gloss,Maple,Jumbo,Laurel,"25.5"" - 27"" Multi-Scale (648 mm - 686 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson Uncovered 7-String Blade Humbucking,Jackson Uncovered 7-String Blade Humbucking,885978424320.0,NO INCLUYE,HH,Gloss Black,,648.0,304.8
"Jackson X Series Warrior WRX24M,Ferrari Red guitarra electrica",18850.0,Disponible,2916600539,"El modelo X Series Warrior™ WRX24M es una versión endiabladamente asequible de la trituradora radicalmente en forma de X de Jackson. Con el ADN de pura sangre de Jackson, una jugabilidad ultrarrápida y un valor increíble, el WRX24M cuenta con una longitud de escala de 25,5"", un cuerpo de álamo",Jackson,,,,,,,,,,,,,,,,11.0,,,,,,
"Jackson X Series King V KVXMG, Slime Green with Negro Bevels, Guitarra Eléctrica",18549.0,Disponible,2916400529,"Las guitarras de la serie X están cargadas con el ADN de Jackson puro, incluido un tono fantástico y una capacidad de ejecución ultrarrápida, junto con un valor increíble para los guitarristas del siglo XXI. El Jackson X Series King V ™ KVXMG tiene un cuerpo de tilo, un mástil de arce a través del",Jackson,6.0,X Series,King V,Poplar,Indonesia,Gloss,Maple,Jumbo,Laurel,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,EMG 85,EMG 81,885978424344.0,NO INCLUYE,HH,Gloss Color Matched,,648.0,304.8
"Jackson X Series Soloist SL3XM DX, Satin Black, Guitarra Eléctrica",17883.0,Disponible,2916344568,"DISPONIBLE EN FEBRERO 2021 El nombre Jackson® siempre ha sido sinónimo de tecnología de guitarra de vanguardia, y la compañía continúa liderando el camino en la elaboración de instrumentos que superan las demandas de los músicos más exigentes de la actualidad. Combinando un estilo clásico con",Jackson,6.0,X Series,Soloist,Poplar,Indonesia,Satin,Maple,Jumbo,Maple,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Duncan Designed HR-101 Hot Rails,Duncan Designed HB-103B,885978733682.0,NO INCLUYE,HSS,Satin Color Matched,Duncan Designed HR-101 Hot Rails,648.0,304.8
"Jackson X Series Soloist SLX DX Camo, Multi-Color Camo, Guitarra Eléctrica",19989.0,Disponible,2916342598,"DISPONIBLE MARZO 2021 Distintivos y asequibles, los modelos Soloist de la serie X de Jackson están diseñados para brindar velocidad y comodidad. El  Jackson® X Series Soloist ™ SLX DX Camo  es un venerable caballo de batalla de doble corte que ofrece muchas características finas deseadas por las",Jackson,6.0,X Series,Soloist,Poplar,Indonesia,Gloss,Maple,Jumbo,Laurel,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson Covered High-Output Humbucking,Jackson Covered High-Output Humbucking,885978752355.0,NO INCLUYE,HH,Gloss Black,,648.0,304.8
"Jackson Pro Series Signature Phil Demmel Demmelition Fury PD, Red Tide Fade, Guitarra Eléctrica",19470.0,Disponible,2916063533,"Durante más de 15 años, el guitarrista Phil Demmel contribuyó con sus lamidos contundentes y ultrarrápidos al grupo de thrash-and-groove metal Machine Head. A medida que Demmel avanza hacia su próximo capítulo, estará bien armado con el nuevo Pro Series Signature Demmelition Fury PD, un hacha de",Jackson,6.0,Pro,Demmelition Fury,Mahogany,Indonesia,Gloss,Maple,Jumbo,Laurel,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,EMG 60,EMG 81,885978056903.0,NO INCLUYE,HH,Gloss,,648.0,304.8
"Jackson Pro Series Soloist SL2P MAH, Transparent Black Burst, Guitarra Eléctrica",26880.0,Disponible,2914252585,"Cuando las mentes refinadas de Jackson® diseñaron nuestros modelos Pro Series Soloist ™, fusionaron sonido, facilidad de interpretación y estilo ultramoderno para crear una máquina de música única que redefine la destreza del metal. Diseñado desde sus inicios para tocar la guitarra de alta velocidad",Jackson,6.0,Pro,Soloist,Mahogany,Indonesia,Satin,Maple,Jumbo,Ebony,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Seymour Duncan Distortion SH-6N,Seymour Duncan Distortion TB-6,885978752577.0,NO INCLUYE,HH,Oiled,,648.0,304.8
"Jackson X Series Signature Adrian Smith SDXM, Snow White with White Pickguard, Guitarra Eléctrica",12123.0,Disponible,2913053576,"Iron Maiden es una de las bandas de metal más exitosas e influyentes de la historia, y el trabajo de guitarra fundido pero melódico de Adrian Smith ha sido durante mucho tiempo una fuerza impulsora detrás de su sonido distintivo y dinámico. Con una composición atemporal y emocionantes presentaciones",Jackson,6.0,Artist,San Dimas,Basswood,Indonesia,Satin,Maple,Jumbo,Maple,"25.5"" (648 mm)",22.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson Single-Coil,Jackson High-Output Humbucking,885978056811.0,NO INCLUYE,HSS,Satin,Jackson Single-Coil,648.0,304.8
"Jackson Pro Series Signature Corey Beaulieu, King V KV7Q, Winterstorm, Guitarra Eléctrica",34590.01,Disponible,2912127577,"Trivium ha llevado la antorcha del metalcore alto durante mucho tiempo, y el abrasador y memorable trabajo de guitarra principal de Corey Beaulieu es una piedra angular del sonido pesado y castigador de la banda. Trabajando en equipo con Jackson® para modificar la King V ™ para cumplir con sus",Jackson,7.0,Artist,King V,Mahogany,Indonesia,Gloss,Maple,Jumbo,Ebony,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Seymour Duncan Blackouts AHB-1N 7,Seymour Duncan Blackouts AHB-1B 7,885978387755.0,NO INCLUYE,HH,Oiled,,648.0,304.8
"Jackson Pro Series, Dinky Modern EverTune 6, Satin Graphite, Guitarra Eléctrica",34773.5,Disponible,2912001544,"DISPONIBLE ABRIL 2021 Con características premium que se adaptan a la interpretación altamente técnica, tono multidimensional y diseño ergonómico, el flamante  Jackson®  Pro Series Dinky ™ DK Modern EverTune® 6  brinda la mejor experiencia de alto rendimiento para los músicos modernos de hoy. El",Jackson,6.0,Pro,Dinky,Basswood,Corea,Satin,3-Piece Maple/Wenge/Maple,Jumbo,Ebony,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Fishman Fluence Open Core PRF-COC,Fishman Fluence Open Core PRF-COC,885978753604.0,NO INCLUYE,HH,Satin,,648.0,304.8
"Jackson JS Series, Dinky, Satin Black, Guitarra Eléctrica",7894.5,Disponible,2910248568,"Rápidas, mortales y asequibles, las guitarras Jackson® JS Series dan un salto épico hacia adelante, lo que hace que sea más fácil que nunca obtener el tono, el aspecto y la capacidad de interpretación clásicos de Jackson sin romper el banco. La parte superior de arco Dinky ™ JS32 DKA de la serie JS",Jackson,6.0,JS,Dinky,Poplar,China,Satin,Maple,Jumbo,Amaranth,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978986675.0,NO INCLUYE,HH,Satin,,648.0,304.8
"Jackson JS Series Dinky Arch Top JS32 DKAM, Negro Gloss, Guitarra Eléctrica",8082.0,Disponible,2910238503,"Rápidas, mortales y accesibles, las guitarras Jackson JS Series dan un salto épico hacia adelante, lo que hace que sea más fácil que nunca obtener el tono clásico, la apariencia y la jugabilidad de Jackson sin romper el banco.  La serie JS Dinky ™ Arch Top JS32 DKA-M presenta un cuerpo de álamo con",Jackson,6.0,JS,Dinky,Poplar,China,Gloss,Maple,Jumbo,Maple,"25.5"" (648 mm)",28.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978474516.0,NO INCLUYE,HH,Satin,,648.0,304.8
"Jackson JS Series, Dinky, Bright Blue, Guitarra Eléctrica",7479.0,Disponible,2910148522,"Rápidas, mortales y accesible, las guitarras Jackson JS Series dan un salto épico hacia adelante, lo que hace que sea más fácil que nunca obtener el clásico tono, apariencia y movilidad de Jackson sin romper. La serie JS Dinky Arch Top JS32 DKA tiene un cuerpo de álamo o nato (solo aceite natural)",Jackson,6.0,JS,Dinky,Poplar,China,Gloss,Maple,Jumbo,Amaranth,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978977130.0,NO INCLUYE,HH,Satin,,648.0,304.8
"Jackson JS Series Dinky JS11, Metallic Blue, guitarra eléctrica",3657.5,Disponible,2910121527,"Rápidas, mortales y accesible, las guitarras Jackson JS Series dan un salto épico hacia adelante, lo que hace que sea más fácil que nunca obtener el clásico tono, apariencia y movilidad de Jackson sin romper. La serie JS Dinky JS11 presenta un cuerpo de álamo y un mástil de velocidad de arce",Jackson,6.0,JS,Dinky,Poplar,China,Gloss,Maple,Jumbo,Amaranth,"25.5"" (648 mm)",22.0,"12"" (305 mm)",,Jackson High-Output Humbucking,Jackson High-Output Humbucking,885978976744.0,NO INCLUYE,HH,Satin,,648.0,305.0
"Jackson X Series Dinky DK3XR HSS,  Neon Green, Guitarra Eléctrica",12627.0,Disponible,2910022525,El  Jackson® X Series Dinky ™ DK3XR HSS  ofrece la mejor experiencia de interpretación con funciones y citas para el músico consciente de los precios. El  DK3XR HSS  presenta un cuerpo de álamo con talón cortado por triturador esculpido para un acceso rápido a los trastes superiores y un mástil de,Jackson,6.0,X Series,Dinky,Poplar,Indonesia,Gloss,Maple,Jumbo,Laurel,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Jackson Single-Coil,Jackson High-Output Humbucking,885978752454.0,,HSS,Satin,Jackson Single-Coil,648.0,304.8
"Jackson Pro Series, Dinky Modern Ash HT6, Baked White, Guitarra Eléctrica",28854.0,Disponible,2910002576,"Con características premium que se adaptan a una interpretación altamente técnica, un tono multidimensional y un diseño ergonómico, el nuevo modelo Jackson Pro Series Dinky ™ DK Modern Ash HT6 ofrece la mejor experiencia de alto rendimiento para los músicos modernos de hoy. Esta guitarra modernizada",Jackson,6.0,Pro,Dinky,Ash,Corea,Satin,3-Piece Maple/Wenge/Maple,Jumbo,Ebony,"25.5"" (648 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Fishman Fluence Open Core PRF-COC,Fishman Fluence Open Core PRF-COC,885978538638.0,NO INCLUYE,HH,Satin,,648.0,304.8
"Jackson Pro Series, Dinky Modern Ash HT7, Baked Blue, Guitarra Eléctrica",30915.0,Disponible,2910001527,"Con características premium que se adaptan a la interpretación altamente técnica, un tono multidimensional y un diseño ergonómico, el nuevo modelo Jackson Pro Series Dinky ™ DK Modern Ash FR7 brinda la mejor experiencia de alto rendimiento para los músicos modernos de hoy. Con una longitud de escala",Jackson,7.0,Pro,Dinky,Ash,Corea,Satin,3-Piece Maple/Wenge/Maple,Jumbo,Ebony,"26.5"" (673 mm)",24.0,"12"" to 16"" Compound Radius (304.8 mm to 406.4 mm)",,Fishman Fluence Open Core PRF-CO7,Fishman Fluence Open Core PRF-CO7,885978428502.0,NO INCLUYE,HH,Satin,,673.0,304.8
"Gretsch G2655-P90 Streamliner Center Block Jr. Double-Cut P90, Brownstone, Guitarra Eléctrica",11349.0,Disponible,2817800588,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Center Block Jr.,Mahogany,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",FideliSonic 90,FideliSonic 90,885978797813.0,NO INCLUYE,P90 / P90,Gloss,,629.0,305.0
"Gretsch G2655-P90 Streamliner Center Block Jr. Double-Cut P90, Claret Burst, Guitarra Eléctrica",10718.5,Disponible,2817800561,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Center Block Jr.,Laminated Mahogany,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",FideliSonic 90,FideliSonic 90,885978823772.0,NO INCLUYE,P90 / P90,Gloss,,629.0,305.0
"Gretsch G2622-P90 Streamliner Center Block Double-Cut P90, Claret Burst, Guitarra Eléctrica",11349.0,Disponible,2817600561,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Center Block,Mahogany,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",FideliSonic 90,FideliSonic 90,885978797462.0,NO INCLUYE,P90 / P90,Gloss,,629.0,305.0
"Gretsch G2622-P90 Streamliner Center Block Double-Cut P90, Havana Burst, Guitarra Eléctrica",11457.0,Disponible,2817600531,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Center Block,Laminated Mahogany,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",FideliSonic 90,FideliSonic 90,885978823765.0,NO INCLUYE,P90 / P90,Gloss,,629.0,305.0
"Gretsch G2655 Streamliner Center Block Jr.,Forge Glow Maple guitarra electrica",10500.0,Disponible,2816400597,"La emocionante G2655 Streamliner™ Center Block Jr. Double-Cut con V-Stoptail está diseñado para tres cosas simples: alto rendimiento amigable con la ganancia, facilidad de ejecución y estilo espectacular. Una elegante máquina de música, la G2655 reproduce los éxitos con características actualizadas",Gretsch,,,,,,,,,,,,,,,,11.0,,,,,,
"Gretsch G2655T-P90 Streamliner Center Block Jr, 2-Tone Sahara Metallic, Guitarra Eléctrica",13446.0,Disponible,2807700544,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Electromatic Collection,Center Block Jr.,Mahogany,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",FideliSonic 90,FideliSonic 90,885978797769.0,NO INCLUYE,P90 / P90,Gloss,,629.0,305.0
"Gretsch G2215-P90 Streamliner Junior Jet Club, Single Barrel Stain, Guitarra Eléctrica",8109.0,Disponible,2806700593,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Jet,Nato,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",P90 Soap Bar,Broad'Tron BT-2S,885978616107.0,NO INCLUYE,Broad'Tron™ / P90,Gloss,,629.0,305.0
"Gretsch G2215-P90 Streamler Junior Jet Club P90, Shell Pink, Guitarra Eléctrica",9010.0,Disponible,2806700556,"Una nueva y emocionante adición a la colección Streamliner™, el G2215-P90 Streamliner Junior Jet™ Club es un asilo elegante que está listo para pelear. Impulsado por el puente Broad'Tron ™ BT-2S y las pastillas de mástil P90 Soap Bar, este Streamliner ofrece bajos ajustados con un rango medio ronco",Gretsch,6.0,Streamliner,Jet,Nato,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",P90 Soap Bar,Broad'Tron BT-2S,717669554507.0,,Dynasonic™ / P90,Gloss,,629.0,305.0
"Gretsch G2655 Streamliner Center Block JR. con V-Stoptail, Single Barrel Stain, Guitarra Eléctrica",9378.0,Disponible,2806500593,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Center Block,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066803.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2655 Streamliner Center Block JR. con V-Stoptail, Gunmetal, Guitarra Eléctrica",9378.0,Disponible,2806500568,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Center Block,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066797.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2655T Streamler Center Block Jr. Double-Cut Brownstone Maple, Guitarra Eléctrica",11349.0,Disponible,2806400588,"El emocionante G2655T Streamliner™ Center Block Jr. Double-Cut con Bigsby® está diseñado para tres cosas simples: alto rendimiento favorable a la ganancia, facilidad de ejecución y estilo espectacular. Una elegante máquina de música, la G2655T reproduce los éxitos con características actualizadas",Gretsch,6.0,Streamliner,Streamliner Center Block Jr.,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,717669559557.0,,HH,Gloss,,629.0,305.0
"Gretsch G2655 Streamliner Center Block JR. con V-Stoptail,Village Amber, Guitarra Eléctrica",9378.0,Disponible,2806400520,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Center Block,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978464630.0,NO INCLUYE,HH,Gloss,,629.0,305.0
"Gretsch G2622LH Streamliner Center Block con V-Stoptail, Guitarra Eléctrica zurda",11349.0,Disponible,2806320580,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Center Block,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066742.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2622 Streamliner Center Block con V-Stoptail, Guitarra Eléctrica",9657.0,Disponible,2806200593,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Center Block,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066735.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2622 Streamliner Center Block con V-Stoptail, Guitarra Eléctrica",9684.0,Disponible,2806200569,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Center Block,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066711.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2210 Streamliner Junior Jet Club, Imperial Stain, Guitarra Eléctrica",7128.0,Disponible,2805400579,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Solid Body,Nato,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron,Broad'Tron,885978355341.0,NO INCLUYE,Broad'Tron / Broad'Tron,Gloss,,629.0,305.0
"Gretsch G2210 Streamliner Junior Jet Club, Gunmetal, Guitarra Eléctrica",7128.0,Disponible,2805400568,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Solid Body,Nato,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron,Broad'Tron,885978355303.0,NO INCLUYE,Broad'Tron / Broad'Tron,Gloss,,629.0,305.0
"Gretsch G2210 Streamliner Junior Jet Club, Golddust, Guitarra Eléctrica",7128.0,Disponible,2805400544,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Solid Body,Nato,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron,Broad'Tron,885978355334.0,NO INCLUYE,Broad'Tron / Broad'Tron,Gloss,,629.0,305.0
"Gretsch G2210 Streamliner Junior Jet Club, Vintage White, Guitarra Eléctrica",7128.0,Disponible,2805400505,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Gretsch Streamliner Collection,Streamliner Solid Body,Nato,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron,Broad'Tron,885978355266.0,NO INCLUYE,Broad'Tron / Broad'Tron,Gloss,,629.0,305.0
"Gretsch G2420 Streamliner Hollow Body con Chromatic II, Phantom Metallic, Guitarra Eléctrica",10422.0,Disponible,2804700569,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Hollow Body,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978414338.0,NO INCLUYE,HH,Gloss,,629.0,305.0
"Gretsch G2420 Streamliner Hollow Body con Chromatic II, Village Amber, Guitarra Eléctrica",10422.0,Disponible,2804700520,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Hollow Body,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066667.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2420 Streamliner Hollow Body con Chromatic II, Walnut Stain,Guitarra Eléctrica",10422.0,Disponible,2804700517,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Gretsch Streamliner Collection,Streamliner Hollow Body,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066674.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Gretsch G2420T Streamliner Hollow Body con Bigsby, Riviera Blue, Guitarra Eléctrica",12375.0,Disponible,2804600502,"En 1872 Frederich Gretsch emigró de Alemania a los Estados Unidos a la edad de 16 años. Después de trabajar en una compañía de instrumentos en la ciudad de Nueva York en 1883 fundó la Fred Gretsch Manufacturing Company, cambiando así la historia de la música moderna para siempre. A lo largo de",Gretsch,6.0,Streamliner,Streamliner Hollow Body,Laminated Maple,Indonesia,Gloss,Nato,Medium Jumbo,Laurel,"24.75"" (629 mm)",22.0,"12"" (305 mm)","Thin ""U""",Broad'Tron BT-2S,Broad'Tron BT-2S,885978066643.0,NO INCLUYE,HH,Gloss Urethane,,629.0,305.0
"Jackson American Series Soloist SL3, Riviera Blue guitarra electrica",63690.0,Disponible,2802601890,"Nacida en el sur de California en 1980, Jackson fue la primera marca en abarcar las necesidades de los virtuosos del hard rock y el metal al proporcionar instrumentos con conjuntos de características que se adaptaban a la interpretación a alta velocidad. Jackson ha continuado revolucionando su",Jackson,,,,,,,,,,,,,,,,11.0,,,,,,
